XtID,tID,Gene_Symbol
X3927480,3927480,ADAMTS5
X3927532,3927532,ADAMTS5
X2859565,2859565,ADAMTS6
X2859601,2859601,ADAMTS6
X3398328,3398328,ADAMTS8
X2680046,2680046,ADAMTS9
X3163982,3163982,ADAMTSL1
X3164086,3164086,ADAMTSL1
X4050110,4050110,ADAMTSL2
X4050958,4050958,ADAMTSL2
X3605395,3605395,ADAMTSL3
X2358393,2358393,ADAMTSL4
X3034987,3034987,ADAP1
X3716950,3716950,ADAP2
X2436754,2436754,ADAR
X3924041,3924041,ADARB1
X3273667,3273667,ADARB2
X3699707,3699707,ADAT1
X2977471,2977471,ADAT2
X2329196,2329196,ADC
X3545564,3545564,ADCK1
X3027503,3027503,ADCK2
X3862738,3862738,ADCK4
X3120481,3120481,ADCK5
X3000342,3000342,ADCY1
X2442800,2442800,ADCY10
X2800711,2800711,ADCY2
X2473284,2473284,ADCY3
X2544484,2544484,ADCY3
X3558168,3558168,ADCY4
X2692319,2692319,ADCY5
X3453252,3453252,ADCY6
X3659966,3659966,ADCY7
X3153716,3153716,ADCY8
X3677913,3677913,ADCY9
X3775906,3775906,ADCYAP1
X2995667,2995667,ADCYAP1R1
X2715634,2715634,ADD1
X2558736,2558736,ADD2
X3263555,3263555,ADD3
X2779231,2779231,ADH1B
X2779095,2779095,ADH5
X2779163,2779163,ADH6
X3101629,3101629,ADHFE1
X2538600,2538600,ADI1
X2451463,2451463,ADIPOR1
X3400625,3400625,ADIPOR2
X3252170,3252170,ADK
X3320123,3320123,ADM
X3909354,3909354,ADNP
X3795501,3795501,ADNP2
X3248824,3248824,ADO
X2375596,2375596,ADORA1
X3940099,3940099,ADORA2A
X3711869,3711869,ADORA2B
X2427981,2427981,ADORA3
X3632298,3632298,ADPGK
X2638059,2638059,ADPRH
X3526524,3526524,ADPRHL1
X2330253,2330253,ADPRHL2
X3128817,3128817,ADRA1A
X2837970,2837970,ADRA1B
X3895891,3895891,ADRA1D
X3264059,3264059,ADRA2A
X2565082,2565082,ADRA2B
X2716328,2716328,ADRA2C
X3265047,3265047,ADRB1
X3265140,3265140,ADRB1
X2834743,2834743,ADRB2
X4049835,4049835,ADRB3
X3336801,3336801,ADRBK1
X3940631,3940631,ADRBK2
X3892607,3892607,ADRM1
X3946351,3946351,ADSL
X2464353,2464353,ADSS
X3554360,3554360,ADSSL1
X2999755,2999755,AEBP1
X3407229,3407229,AEBP2
X3607232,3607232,AEN
X3846114,3846114,AES
X2759582,2759582,AFAP1
X4047409,4047409,AFAP1
X2834957,2834957,AFAP1L1
X3307851,3307851,AFAP1L2
X2352428,2352428,AFARP1
X2734784,2734784,AFF1
X3994231,3994231,AFF2
X2566844,2566844,AFF3
X2566848,2566848,AFF3
X2875555,2875555,AFF4
X3674166,3674166,AFG3L1
X3674602,3674602,AFG3L1
X3799415,3799415,AFG3L2
X2731257,2731257,AFM
X3736259,3736259,AFMID
X3736286,3736286,AFMID
X2731230,2731230,AFP
X2485433,2485433,AFTPH
X3328309,3328309,AG2
X2794902,2794902,AGA
X2533670,2533670,AGAP1
X3288013,3288013,AGAP10
X3256221,3256221,AGAP11
X3458735,3458735,AGAP2
X3031880,3031880,AGAP3
X3287023,3287023,AGAP4
X3246480,3246480,AGAP6
X3606682,3606682,AGBL1
X3372420,3372420,AGBL2
X3025678,3025678,AGBL3
X2411642,2411642,AGBL4
X2474161,2474161,AGBL5
X2949830,2949830,AGER
X2530599,2530599,AGFG1
X3015603,3015603,AGFG2
X2816563,2816563,AGGF1
X3027808,3027808,AGK
X2348634,2348634,AGL
X2397732,2397732,AGMAT
X2949801,2949801,AGPAT1
X3230282,3230282,AGPAT2
X3923354,3923354,AGPAT3
X3923424,3923424,AGPAT3
X3923426,3923426,AGPAT3
X2983030,2983030,AGPAT4
X3083936,3083936,AGPAT5
X3095815,3095815,AGPAT6
X3095870,3095870,AGPAT6
X2734047,2734047,AGPAT9
X3603388,3603388,AGPHD1
X2517408,2517408,AGPS
X3039791,3039791,AGR2
X4053550,4053550,AGRN
X2460296,2460296,AGT
X3212728,3212728,AGTPBP1
X2647015,2647015,AGTR1
X2320411,2320411,AGTRAP
X2781387,2781387,AGXT2L1
X2889486,2889486,AGXT2L2
X2465324,2465324,AHCTF1
X3903361,3903361,AHCY
X2351121,2351121,AHCYL1
X3023384,3023384,AHCYL2
X2403158,2403158,AHDC1
X2975385,2975385,AHI1
X3375735,3375735,AHNAK
X3581221,3581221,AHNAK2
X3581233,3581233,AHNAK2
X3581235,3581235,AHNAK2
X3581237,3581237,AHNAK2
X3581239,3581239,AHNAK2
X3581241,3581241,AHNAK2
X3581243,3581243,AHNAK2
X3581245,3581245,AHNAK2
X3581247,3581247,AHNAK2
X3581249,3581249,AHNAK2
X3581251,3581251,AHNAK2
X3581273,3581273,AHNAK2
X3581279,3581279,AHNAK2
X3581283,3581283,AHNAK2
X3581285,3581285,AHNAK2
X3581295,3581295,AHNAK2
X3581371,3581371,AHNAK2
X2991233,2991233,AHR
X2798586,2798586,AHRR
X3545466,3545466,AHSA1
X2484552,2484552,AHSA2
X2656598,2656598,AHSG
X3657253,3657253,AHSP
X2381865,2381865,AIDA
X2902444,2902444,AIF1
X3191877,3191877,AIF1L
X4021469,4021469,AIFM1
X3937814,3937814,AIFM3
X2928690,2928690,AIG1
X2919767,2919767,AIM1
X2402645,2402645,AIM1L
X2738466,2738466,AIMP1
X2988882,2988882,AIMP2
X3337137,3337137,AIP
X3743038,3743038,AIPL1
X3923608,3923608,AIRE
X2317686,2317686,AJAP1
X3226138,3226138,AK1
X2405364,2405364,AK2
X3197318,3197318,AK3
X2340315,2340315,AK3L1
X2343025,2343025,AK5
X3550343,3550343,AK7
X3728097,3728097,AKAP1
X3749086,3749086,AKAP10
X3487218,3487218,AKAP11
X3487220,3487220,AKAP11
X2931569,2931569,AKAP12
X3606304,3606304,AKAP13
X3989006,3989006,AKAP14
X3184408,3184408,AKAP2
X3441280,3441280,AKAP3
X3540068,3540068,AKAP5
X3540074,3540074,AKAP5
X3540076,3540076,AKAP5
X3540079,3540079,AKAP5
X3531553,3531553,AKAP6
X2925724,2925724,AKAP7
X3853299,3853299,AKAP8
X3853345,3853345,AKAP8L
X3012381,3012381,AKAP9
X2969089,2969089,AKD1
X2969131,2969131,AKD1
X2969127,2969127,AKD1
X2969199,2969199,AKD1
X2969201,2969201,AKD1
X2331158,2331158,AKIRIN1
X2963784,2963784,AKIRIN2
X3221916,3221916,AKNA
X2426734,2426734,AKNAD1
X2334374,2334374,AKR1A1
X3073981,3073981,AKR1B1
X3025433,3025433,AKR1B15
X3232979,3232979,AKR1C1
X3274758,3274758,AKR1C2
X3233049,3233049,AKR1C3
X3274830,3274830,AKR1CL1
X3026495,3026495,AKR1D1
X3232944,3232944,AKR1E2
X2399718,2399718,AKR7A2
X2399743,2399743,AKR7A3
X3581132,3581132,AKT1
X3868160,3868160,AKT1S1
X3862471,3862471,AKT2
X3862529,3862529,AKT2
X2464005,2464005,AKT3
X3691967,3691967,AKTIP
X3221395,3221395,ALAD
X2623515,2623515,ALAS1
X4009849,4009849,ALAS2
X2731192,2731192,ALB
X2634494,2634494,ALCAM
X3838522,3838522,ALDH16A1
X3301512,3301512,ALDH18A1
X3209726,3209726,ALDH1A1
X3626312,3626312,ALDH1A2
X3626384,3626384,ALDH1A2
X3611625,3611625,ALDH1A3
X3169331,3169331,ALDH1B1
X2693409,2693409,ALDH1L1
X3469248,3469248,ALDH1L2
X3432090,3432090,ALDH2
X3748957,3748957,ALDH3A1
X3714068,3714068,ALDH3A2
X3337329,3337329,ALDH3B1
X3379091,3379091,ALDH3B2
X2898499,2898499,ALDH5A1
X3571727,3571727,ALDH6A1
X2873785,2873785,ALDH7A1
X2975257,2975257,ALDH8A1
X2442103,2442103,ALDH9A1
X3655920,3655920,ALDOA
X3218077,3218077,ALDOB
X3750767,3750767,ALDOC
X3646542,3646542,ALG1
X3410908,3410908,ALG10
X3411096,3411096,ALG10B
X3490504,3490504,ALG11
X3965393,3965393,ALG12
X3987446,3987446,ALG13
X3987483,3987483,ALG13
X3987492,3987492,ALG13
X2424148,2424148,ALG14
X3217487,3217487,ALG2
X2708407,2708407,ALG3
X3509885,3509885,ALG5
X2339682,2339682,ALG6
X2339718,2339718,ALG6
X3383164,3383164,ALG8
X3391091,3391091,ALG9
X3391093,3391093,ALG9
X2546409,2546409,ALK
X3573229,3573229,ALKBH1
X3470689,3470689,ALKBH2
X3328214,3328214,ALKBH3
X3713093,3713093,ALKBH5
X3860208,3860208,ALKBH6
X3818395,3818395,ALKBH7
X3389878,3389878,ALKBH8
X2467249,2467249,ALLC
X2488785,2488785,ALMS1
X2488898,2488898,ALMS1P
X3708109,3708109,ALOX12P2
X3742212,3742212,ALOX15
X3709417,3709417,ALOX15B
X3244622,3244622,ALOX5
X3484060,3484060,ALOX5AP
X3744094,3744094,ALOXE3
X2532314,2532314,ALPI
X2739792,2739792,ALPK1
X3810133,3810133,ALPK2
X3605884,3605884,ALPK3
X2324416,2324416,ALPL
X2532294,2532294,ALPPL2
X2595040,2595040,ALS2
X2595042,2595042,ALS2
X2672230,2672230,ALS2CL
X2594905,2594905,ALS2CR11
X2594773,2594773,ALS2CR12
X2594951,2594951,ALS2CR4
X2523419,2523419,ALS2CR8
X3424785,3424785,ALX1
X2427342,2427342,ALX3
X3753474,3753474,AMAC1
X2852742,2852742,AMACR
X4047460,4047460,AMBN
X3221800,3221800,AMBP
X3371544,3371544,AMBRA1
X2921296,2921296,AMD1
X3427032,3427032,AMDHD1
X3644932,3644932,AMDHD2
X3968748,3968748,AMELX
X3692856,3692856,AMFR
X3816359,3816359,AMH
X3415988,3415988,AMHR2
X3393670,3393670,AMICA1
X2427117,2427117,AMIGO1
X3452478,3452478,AMIGO2
X2674646,2674646,AMIGO3
X4017961,4017961,AMMECR1
X2575161,2575161,AMMECR1L
X3449910,3449910,AMN1
X3449947,3449947,AMN1
X4018454,4018454,AMOT
X4018504,4018504,AMOT
X3345222,3345222,AMOTL1
X2696309,2696309,AMOTL2
X2429235,2429235,AMPD1
X2350880,2350880,AMPD2
X3320169,3320169,AMPD3
X3046739,3046739,AMPH
X2674501,2674501,AMT
X2349345,2349345,AMY2B
X2349402,2349402,AMY2B
X2987679,2987679,AMZ1
X3732736,3732736,AMZ2
X3767280,3767280,AMZ2P1
X2571075,2571075,ANAPC1
X2788143,2788143,ANAPC10
X3738280,3738280,ANAPC11
X2696379,2696379,ANAPC13
X3251353,3251353,ANAPC16
X2721848,2721848,ANAPC4
X3474935,3474935,ANAPC5
X3527597,3527597,ANG
X3572782,3572782,ANGEL1
X2454935,2454935,ANGEL2
X3148463,3148463,ANGPT1
X3122489,3122489,ANGPT2
X2445982,2445982,ANGPTL1
X3225855,3225855,ANGPTL2
X2339454,2339454,ANGPTL3
X3819474,3819474,ANGPTL4
X3388517,3388517,ANGPTL5
X3850020,3850020,ANGPTL6
X2320188,2320188,ANGPTL7
X3132940,3132940,ANK1
X3133110,3133110,ANK1
X2740067,2740067,ANK2
X3290875,3290875,ANK3
X2519893,2519893,ANKAR
X3598199,3598199,ANKDD1A
X2816091,2816091,ANKDD1B
X3727787,3727787,ANKFN1
X3706842,3706842,ANKFY1
X3741997,3741997,ANKFY1
