"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"ENSG00000102891","1","cogdnotxad","rosmap","ENSG00000102891","ENSG00000102891","void","1"
"ENSG00000103248","1","cogdnotxad","rosmap","ENSG00000103248","ENSG00000103248","turquoise","1"
"ENSG00000167508","1","cogdnotxad","rosmap","ENSG00000167508","ENSG00000167508","darkolivegreen","0.09873"
"ENSG00000013364","1","cogdnotxad","rosmap","ENSG00000013364","ENSG00000013364","mediumpurple3","0.1716"
"ENSG00000133392","1","cogdnotxad","rosmap","ENSG00000133392","ENSG00000133392","skyblue","3.291e-06"
"ENSG00000140795","1","cogdnotxad","rosmap","ENSG00000140795","ENSG00000140795","void","1"
"ENSG00000180209","1","cogdnotxad","rosmap","ENSG00000180209","ENSG00000180209","navajowhite2","0.9996"
"MYST1","1","cogdnotxad","rosmap","MYST1","MYST1","void","1"
"ENSG00000102921","1","cogdnotxad","rosmap","ENSG00000102921","ENSG00000102921","floralwhite","0.6928"
"ENSG00000159593","1","cogdnotxad","rosmap","ENSG00000159593","ENSG00000159593","blue","0.9971"
"ENSG00000103174","1","cogdnotxad","rosmap","ENSG00000103174","ENSG00000103174","honeydew1","1"
"ENSG00000103245","1","cogdnotxad","rosmap","ENSG00000103245","ENSG00000103245","orange","0.9852"
"ENSG00000072864","1","cogdnotxad","rosmap","ENSG00000072864","ENSG00000072864","purple","0.09035"
"ENSG00000103034","1","cogdnotxad","rosmap","ENSG00000103034","ENSG00000103034","greenyellow","0.2597"
"ENSG00000004779","1","cogdnotxad","rosmap","ENSG00000004779","ENSG00000004779","darkmagenta","0.1144"
"ENSG00000140990","1","cogdnotxad","rosmap","ENSG00000140990","ENSG00000140990","steelblue","0.05112"
"ENSG00000103154","1","cogdnotxad","rosmap","ENSG00000103154","ENSG00000103154","darkgreen","0.9493"
"ENSG00000171208","1","cogdnotxad","rosmap","ENSG00000171208","ENSG00000171208","greenyellow","0.2597"
"ENSG00000102908","1","cogdnotxad","rosmap","ENSG00000102908","ENSG00000102908","grey60","1"
"ENSG00000176953","1","cogdnotxad","rosmap","ENSG00000176953","ENSG00000176953","thistle2","0.9925"
"ENSG00000072736","1","cogdnotxad","rosmap","ENSG00000072736","ENSG00000072736","yellow","0.9861"
