Cerebellum_Purkinje_Neuroexpresso,Cerebellum_Basket_Neuroexpresso,Cerebellum_Granule_Neuroexpresso,Cerebellum_Golgi_Neuroexpresso,Cerebellum_Microglia_Neuroexpresso,Cerebellum_MicrogliaActivation_Neuroexpresso,Cerebellum_MicrogliaDeactivation_Neuroexpresso,Cerebellum_Oligo_Neuroexpresso,Cerebellum_Bergmann_Neuroexpresso
,,,,DIAPH2,,INPP5D,,
,,,,TYROBP,,KLK8,,
,,,,IL6R,,FOSB,,
,,,,FCGR1B,,STARD8,,
,,,,FCGR1A,,AIF1,,
,,,,SPI1,,SLC16A7,,
,,,,C15orf39,,UNC93B1,,
,,,,DOCK2,,MPEG1,,
,,,,CASP1,,PPFIA4,,
,,,,RNASE4,,NAGLU,,
,,,,CASP7,,VRK2,,
,,,,TPST2,,LPXN,,
,,,,IRF5,,PYCARD,,
,,,,IER2,,PYDC1,,
,,,,IFNGR1,,LTF,,
,,,,FES,,MAN2B1,,
,,,,KLF2,,GALNT4,,
,,,,EMP3,,POC1B-GALNT4,,
,,,,PON3,,HEXB,,
,,,,IL21R,,SLAMF9,,
,,,,C1orf54,,PDK1,,
,,,,GPSM3,,NRP1,,
,,,,STAB1,,OLFML3,,
,,,,LY86,,LRMP,,
,,,,TLR1,,RBL1,,
,,,,PPP1R15A,,MERTK,,
,,,,TRIM34,,TRIM47,,
,,,,TLR3,,TWF2,,
,,,,VWA5A,,LRRK1,,
,,,,OAF,,ADCY7,,
,,,,PNPLA7,,ITGA6,,
,,,,EGR1,,CD300A,,
,,,,DAPP1,,CD300C,,
,,,,WSB1,,HLA-F,,
,,,,IL7R,,BCO2,,
,,,,LGALS9B,,SRPK3,,
,,,,HLA-F,,ARAP3,,
,,,,BTG2,,TLR4,,
,,,,CTSZ,,SLC37A2,,
,,,,ABHD15,,C8orf4,,
,,,,PHYHD1,,,,
,,,,TGFB1,,,,
,,,,CD34,,,,
,,,,LGALS3BP,,,,
,,,,SLC7A7,,,,
,,,,TMC6,,,,
,,,,FCRL2,,,,
,,,,GRN,,,,
,,,,SLC11A1,,,,
,,,,SNORD22,,,,
,,,,STT3A,,,,
,,,,SYNGR2,,,,
,,,,CD37,,,,
,,,,CD300A,,,,
,,,,CD300C,,,,
,,,,SPPL2A,,,,
,,,,CCL18,,,,
,,,,CCL3,,,,
,,,,CCL3L3,,,,
,,,,CCL15-CCL14,,,,
,,,,CCL15,,,,
,,,,CCL23,,,,
