Hippocampus_Pyramidal_Neuroexpresso,Hippocampus_Astrocyte_Neuroexpresso,Hippocampus_DentateGranule_Neuroexpresso,Hippocampus_GabaSSTRein_Neuroexpresso,Hippocampus_Oligo_Neuroexpresso,Hyppocampus_Microglia_Neuroexpresso,Hippocampus_MicrogliaDeactivation_Neuroexpresso,Hippocampus_MicrogliaActivation_Neuroexpresso
,MYO10,,,,MSN,ARHGDIB,CD53
,MYO6,,,,STAB1,PTPN6,IFI30
,NDP,,,,TGFB1,MFNG,C1QA
,NOTCH1,,,,IFNGR1,UBA7,CCL2
,NTRK2,,,,HAVCR2,ADRB2,CCL4
,NTSR2,,,,CRYBB1,ARAP3,CCR5
,OAF,,,,ANKRD44,FAM111A,CEP152
,OPLAH,,,,RASSF5,SLC16A6,MAFF
,Gene Symbol,,,,TGFBR2,CSF3R,IL17RA
,PAPSS2,,,,TYROBP,ST3GAL6,TNFAIP2
,PAX6,,,,S100A11,LMO2,PLEK
,PDGFRB,,,,MLXIPL,CLEC4A,IL1A
,PDK4,,,,JUNB,HPGDS,IL1B
,PDLIM5,,,,EHBP1L1,RASA4,CHST7
,PHKA1,,,,RNASE4,AFP,MS4A6A
,PHKG1,,,,FCRL1,PIK3CG,CCDC86
,PLA2G7,,,,ARRB2,HPGD,MLPH
,PPARA,,,,GRK2,CD33,RAB3IL1
,PPIC,,,,PTPRC,TNFSF13B,TAP1
,PPP1R3C,,,,SH3GLB1,PYCARD,IL4R
,PRELP,,,,SLC11A1,BTK,HCK
,PRODH,,,,F11R,TLR4,VASP
,PTPRZ1,,,,FCGR1A,LPXN,IL6
,PYGM,,,,PLXDC2,MYLIP,VAV1
,RDH5,,,,EBI3,LRMP,PMAIP1
,RORB,,,,CLIC1,TREM2,LRRFIP1
,S1PR1,,,,HP,CD48,SERTAD1
,SCARA3,,,,SASH3,KLK8,TSPO
,SCG3,,,,PIK3CD,TIFA,TUBB6
,SDC4,,,,GUSB,AIF1,UCP2
,SEMA4A,,,,CD34,PRKCD,VASP
,SERHL,,,,CD37,SLC37A2,VAV1
,SLC12A4,,,,IL21R,CD79B,ZFP36
,SLC14A1,,,,TLR1,MAFB,
,SLC15A2,,,,ENTPD1,GNA15,
,SLC1A2,,,,TRIM6-TRIM34,ATF3,
,SLC1A3,,,,DAPP1,ELK3,
,SLC1A4,,,,TRPV2,BATF3,
,SLC38A3,,,,FES,UNC93B1,
,SLC41A1,,,,GPSM3,LTF,
,SLC7A10,,,,CD68,PLD1,
,SLCO1C1,,,,C1QC,FAM105A,
,SMPD2,,,,SERINC3,LRBA,
,SMPDL3A,,,,CCL3,TNFRSF1B,
,SORCS2,,,,C3AR1,EDEM1,
,SOX9,,,,ZFHX3,VAMP8,
,TFCP2L1,,,,ALAS2,LYL1,
,TLCD1,,,,PLCG2,TRIM47,
,TMEM47,,,,EMP3,LYZ,
,TMEM51,,,,ADGRE1,CLCF1,
,TNFRSF19,,,,LYN,CMTM7,
,TRIL,,,,FYB1,GIMAP6,
,TRPS1,,,,ARHGAP45,TEC,
,TTPA,,,,SKAP2,TMEM140,
,VCAM1,,,,CTSH,CX3CR1,
,VEGFA,,,,PLEKHO1,PLD4,
,WWTR1,,,,LY86,SNX5,
,,,,,TAPBP,UNC93B1,
,,,,,HERPUD1,VAMP8,
,,,,,ALOX5AP,VRK2,
,,,,,CTSZ,,
,,,,,IL6R,,
,,,,,HCLS1,,
,,,,,IL7R,,
,,,,,ADAP2,,
,,,,,FERMT3,,
,,,,,PROS1,,
,,,,,CYBA,,
,,,,,NCKAP1L,,
,,,,,TOR4A,,
,,,,,Trim12a,,
,,,,,TRIM6-TRIM34,,
,,,,,TRPV2,,
,,,,,TYROBP,,
,,,,,VSIR,,
,,,,,ZFHX3,,
,,,,,ZFP90,,
